name;type
Kimberly-Clark;company
Emory University;university
London School of Economics;university
George Washington University;university
Wilfrid Laurier University;university
Møller-Maersk;company
Weizmann Institute of Science;university
University of California, Los Angeles;university
DISH Network;company
Trinity College, Dublin;university
Ludwig Maximilian University of Munich;university
Ruprecht Karl University of Heidelberg;university
Drexel University;university
UnitedHealth Group;company
Athene Holding;company
National Cheng Kung University;university
Royal College of Surgeons in Ireland;university
Beijing Jiaotong University;university
Florida International University;university
University of Western Australia;university
Saitama Medical University;university
Hebrew University of Jerusalem;university
University of Rome Tor Vergata;university
Ain Shams University;university
Konkuk University;university
L3Harris Technologies;company
University of Jena;university
Dollar General;company
AbbVie;company
Texas A&M University, College Station;university
Mitsui;company
University of Wyoming;university
University of North Carolina at Chapel Hill;university
Shandong University;university
University of North Texas, Denton;university
Autonomous University of Barcelona;university
Universidade Nova de Lisboa;university
Northeastern University;university
University of Texas at San Antonio;university
University of New England (Australia);university
University of Oklahoma Health Sciences Center;university
Yale University;university
University of New Brunswick;university
University of Nantes;university
King Abdulaziz University;university
University of Colorado Boulder;university
Jagiellonian University;university
TC Energy;company
Western Michigan University;university
La Trobe University;university
American Express;company
Hebrew University of Jerusalem;university
Dartmouth College;university
Paris Descartes University;university
Aarhus University;university
University of Santiago de Compostela;university
Clarkson University;university
University of WrocÅ‚aw;university
Plymouth University;university
Aristotle University of Thessaloniki;university
Bouygues;company
National Polytechnic Institute;university
Versailles Saint-Quentin-en-Yvelines University;university
University of North Carolina at Chapel Hill;university
Osaka University;university
Best Buy;company
The Catholic University of America;university
University of British Columbia;university
University of Geneva;university
Ã‰cole Polytechnique;university
Texas A&M University, College Station;university
Wageningen University and Research Centre;university
Inha University;university
North Dakota State University - Main Campus;university
Martin Luther University of Halle-Wittenberg;university
National Sun Yat-sen University;university
Nanjing University of Technology;university
University of Sherbrooke;university
Telstra;company
Pennsylvania State University, University Park;university
North Carolina State University;university
Swinburne University of Technology;university
Case Western Reserve University;university
United Arab Emirates University;university
University College Dublin;university
