key;title;author;booktitle;year;abstract;keywords;organization;type;reviewers;review;decision
www/org/mitre/future;The Future of Classic Data Administration: Objects + Databases + CASE;Arnon Rosenthal;SWEE;1998;Est sed aliquam est dolorem dolore.;Relational Databases;Kimberly-Clark;company;Teresa Luu|Daniel A. Spielman|Ramiro Liscano;Sed porro dolor numquam eius consectetur ipsum.;accepted
persons/Codd74;Seven Steps to Rendezvous with the Casual User.;E. F. Codd;IFIP Working Conference Data Base Management;1974;Est sed aliquam est dolorem dolore.;Machine Learning;Emory University;university;Ron Holzman|Kristin Giammarco|Pierre-Arnoul de Marneffe;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/BollingerLP91;The LILOG Inference Engine.;Sven Lorenz|Toni Bollinger|Udo Pletat;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;High Performance Computing|Data Engineering;London School of Economics;university;Roozbeh Hosseini|Kelvin S. Bryant|Ewald Lang;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/CarstensenS91;Why a Hill Can't be a Valley: Representing Gestalt and Position Properties of Objects with Object Schemata.;Geoffrey Simmons|Kai-Uwe Carstensen;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Data Engineering|Data Structures;George Washington University;university;Michael Habeck|Miguel-Angel Lopez-Garcia|Sidney S. Fels;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/FlaterY93;Towards Flexible Distributed Information Retrieval.;David W. Flater|Yelena Yesha;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;Machine Learning|Data Structures;Wilfrid Laurier University;university;Prem Melville|Pim Haselager|Tilimbe Jiya;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/RollingerH91;Introducing LILOG.;Claus-Rainer Rollinger|Otthein Herzog;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Big Data|Data Engineering|Computer Networks;Møller-Maersk;company;Masayuki Murata|Parisa Yousefzadeh Fard|Xingtan Zhang;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/BhargavaJSD93;Transition From A Relation To Object Model Implementation.;Bharat K. Bhargava|Jagannathan Srinivasan|Prasun Dewan|Yin-he Jiang;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;NLP|Data Mining|Data Structures;Weizmann Institute of Science;university;Brahim Jawad|Arunava Sen|Michael Pavolonis;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/DorreR91;The STUF Workbench.;Ingo Raasch|Jochen Dörre;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Relational Databases;University of California, Los Angeles;university;Wail Mardini|Jan Wilms|Guy D. Eslick;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Emde91;Managing Lexical Knowledge in LEU/2.;Werner Emde;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;High Performance Computing;DISH Network;company;Francesco Nava|Ivan Stojmenovic|Maxim Troshkin;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Ridoux94;Imagining CLP(A, equiv alpha beta);Olivier Ridoux;Constraint Programming;1994;Est sed aliquam est dolorem dolore.;High Performance Computing|Relational Databases;Trinity College, Dublin;university;Cameron Shelley|Jason D. Fowlkes|Uwe Hercksen;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Blasius91;Knowledge Based Control of the LILOG Inference Engine: Kinds of Metaknowledge.;Karl-Hans Bläsius;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Relational Databases;Ludwig Maximilian University of Munich;university;Raouf Boucekkine|Vincas Buda|Yuan-Yuan Zhang;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/LuckP91;Constructing a Context for LEU/2.;Kai von Luck|Thomas Pirlein;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Big Data|Computer Networks;Ruprecht Karl University of Heidelberg;university;David Cass|Daniela Del Boca|Xiaoyong Xi;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/GhafoorB93;Multimedia Database Systems.;Arif Ghafoor|P. Bruce Berra;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;Machine Learning|Data Engineering;Drexel University;university;Dorel Lucanu|Fabrizio Adriani|Ananda Theertha Suresh;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Dorre91;The Language STUF.;Jochen Dörre;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;High Performance Computing|Relational Databases|Data Mining;UnitedHealth Group;company;Roberto F. Parente|Kai-Hao Yang|Fabrizio Germano;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/KloseL91;The Background Knowledge of the LILOG System.;Gudrun Klose|Kai von Luck;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;NLP|Data Structures;Athene Holding;company;K. Thangavel|Botond Cseke|Md Zahidul Islam 0001;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Rauzy94;Toupie: a Constraint Language for Model Checking;Antoine Rauzy;Constraint Programming;1994;Est sed aliquam est dolorem dolore.;Relational Databases|NLP|Computer Networks;National Cheng Kung University;university;Matthew J. Brown|Rafael Caballero 0001|Uwe Nestmann;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Wesche91;An Alternative Phrase Structure Account of Symmetric Coordination.;Birgit Wesche;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;High Performance Computing|Relational Databases;Royal College of Surgeons in Ireland;university;Michael DuChene|Phillip Mates|Emma Moreno-García;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Seifert91;Chart-Parsing of STUF Grammars.;Roland Seiffert;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Relational Databases;Beijing Jiaotong University;university;Christopher DuBois|Tyler Gibb|Xinpei Ma;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/SiegelmannF93;Document Allocation In Multiprocessor Information Retrieval Systems.;Hava T. Siegelmann|Ophir Frieder;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;Relational Databases|Computer Networks;Florida International University;university;Magdalena Grohman|Pierpaolo Battigalli|Bernard J. Geurts;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Gust91;Representing Word Meanings.;Helmar Gust;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Data Mining|High Performance Computing;University of Western Australia;university;Arunita Jaekel|Laurent Mathevet|Guy Widdershoven;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Lang91;The LILOG Ontology from a Linguistic Point of View.;Ewald Lang;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Data Mining;Saitama Medical University;university;Ata Kabán|Vladimir Gorodetsky|Keith Henwood;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Bockmayr94;Solving Pseudo-Boolean Constraints;Alexander Bockmayr;Constraint Programming;1994;Est sed aliquam est dolorem dolore.;Data Engineering|Big Data;Hebrew University of Jerusalem;university;Daniel Severín 0001|Fariborz Mahmoudi|Yusuke Kasuya;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/KissW91;Verb Order and Head Movement.;Birgit Wesche|Tibor Kiss;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Data Engineering;University of Rome Tor Vergata;university;Paul M. Gibbons|Amer Tabakovic|José Luis de la Vara;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Konig91;Gap-Handling Mechanisma In Categorial Grammars.;Esther König;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Data Structures|Semantic Data|Data Mining;Ain Shams University;university;Ian Jewitt|Félix Ramos 0001|Lingling Zhang 0001;Sed porro dolor numquam eius consectetur ipsum.;accepted
