reviewer
Frank Manola
Michael L. Brodie
Michael Stonebraker
Farshad Nayeri
Joe D. Morrison
Mark F. Hornick
Alejandro P. Buchmann
Dimitrios Georgakopoulos
M. Tamer Özsu
Sandra Heiler
Benjamin Hurwitz
Cetin Ozbutun
David Beech
Jim Melton
Jonathan Bauer
Krishna G. Kulkarni
Mike Kelley
Phil Shaw
Rolf Sander
Thomas Ludwig 0001
Claus-Rainer Rollinger
Werner Emde
Christoph Beierle
Hans Uszkoreit
Udo Pletat
Ido Dagan
Ulrike Rackow
Ulrike Schwall
Brigitte Bartsch-Spörl
Burkhard Kehrbusch
Erich Gehlen
Gert Smolka
Markus Höhfeld
Birgit Wesche
Christopher Habel
Albert Maier
Bernd Walter
Michael Ley
Stefan Benzschawel
Egon Börger
Roland Seiffert
Gisela Schöpke
Stefan Böttcher
Rudi Studer
Toni Bollinger
Carola Eschenbach
Manfred Schmidt-Schauß
Hans-Joachim Goltz
Otthein Herzog
Bernhard Beckert
Stefan J. Schierholz
Birgit Wendholt
Gudrun Klose
Klaus Rehkämper
Michael Herweg
Mohammed Nadjib Khenkhar
Simone Pribbenow
Anja Theuner
Peter H. Schmitt
Claudia Maienborn
Angelika Storrer
Brigitte Bläser
Esther König
Claudia Mrotzek
Stefan Börner
Lutz Voelkel
Kai-Uwe Carstensen
Martin Hübner
Ulrike Weiland
Michael Czymmeck
Michael Tarnowski
Helmar Gust
Mechthild Rickheit
Petra Ludewig
Kai von Luck
Elisabeth Neugebauer
Eric Mays
Sitaram Lanka
Petra Maier
Bruce G. Lindsay 0001
Michel E. Adiba
Ewald Lang
Thomas Pirlein
Gerd Kortüm
Ipke Wachsmuth
Ingrid Renz
Noam Paz
Kurt Eberle
Gregor Erbach
Christos Garidis
Jennifer A. Brundage
Maren Kresse
Eric Windisch
Peter Gerstl
Dines Bjørner
E. F. Codd
Irving L. Traiger
Kenneth L. Deckert
Sonja Müller
Rolf Mayer
Rüdiger Wirth
Holger M. Wittmann
Jan Wilms
Bernd Abb
Kai Lebeth
Jörg Heinrich
Andreas Eisele 0001
Jochen Dörre
Rainer Bäuerle
Sven Lorenz
Michael Klein
Chin-Liang Chang
Jean-Marc Cadiou
Nick Roussopoulos
Robert S. Arnold
Tibor Kiss
Wolfgang Wernecke
Ulrich Hedtstück
Petra Steffens
Manfred Grothaus
Karin Klabunde
Karl Dotzek
H. Raymond Strong
Sai Choi Kwan
Nikolaus Ott
Christian Rohrer
F. Günthner
Siegfried Kanngießer
Elisabeth Breidt
Oliver Wauschkuhn
Angi Voß
Ingo Raasch
Bernd I. Dahn
Theodor Lettmann
Wolfgang Schönfeld
Cesare A. Galtieri
Jim Gray 0001
Astrid Schmücker-Schend
Christoph Lingenfelder
Joachim Maier
Hinrich Schütze
Jörg H. Siekmann
Herbert J. Leass
Walter G. Olthoff
Reiner Hähnle
Stefan Gerberding
Werner Kernig
Gregor Meyer
Andreas Arning
Raymond A. Lorie
Bernhard Nebel
Petra Schulz
Sebastian Millies
Heiner Semle
Anne Schiller
M. Wermke
Karl-Hans Bläsius
Elke Busch
Bernd Page
D. Eberle
D. Marx
Jürgen Pietsch
P. Klug-Lier
R. Zieschank
Volker Jantzen
Ralph Scheubrein
William C. Rounds
Kurt Rothermel
Bart Geurts
Josef Gemander
Wilfried Hötker
Karel Oliva
Uwe Reyle
Jutta Kreiß
Jürgen Manowsky
Karl Schlechta
Geoffrey Simmons
Arne Pott
Rob A. van der Sandt
Vera Watson
Adrian Müller
Robert A. Weida
Robert Dionne
Peter Bosch
George Markowsky
Stefan Bayerl
Günther Görz
Kjell Johan Sæbø
Jean-Yves Lerner
Ulrich Schatz
Gosse Bouma
Donald D. Chamberlin
Raymond F. Boyce
Bradford W. Wade
Karin Neuhold
Richard Rödler
Gerd Hoff
Martin Mundhenk
Manfred Laumen
Christoph Meinel
Harald Sack
Volker Schillings
Carsten Damm
Martin Gugat
Nguyen V. Thoai
El-Sayed M. E. Mostafa
Friedemann Leibfritz
Belinda B. King
A. Battermann
Ekkehard W. Sachs
Eyal Arian
John Westwater
Peter Gritzmann
Victor Klee
Dieter Baum
Florian Jarre
Anna Slobodová
Alexander Kaplan
M. Böhm
Rainer Tichatschke
Tim Voetmann
Artur Czumaj
Krzysztof Lorys
Miroslaw Kutylowski
Przemyslawa Kanarek
